"facility_name","description","address1","city","state","fac_zip","fac_phone","county","region_office","ownership_type","latitude","longitude"
"Mount Sinai Hospital - Mount Sinai Hospital of Queens","Hospital","25-10 30th Avenue","Long Island City","New York","11102","7189321000","Queens","Metropolitan Area Regional Office - New York City","Not for Profit Corporation","40.768269","-73.924461"
"Long Island Jewish Medical Center","Hospital","270-05 76th Avenue","New Hyde Park","New York","11040","7184707764","Queens","Metropolitan Area Regional Office - New York City","Not for Profit Corporation","40.75467","-73.70664"
"Samaritan Hospital","Hospital","2215 Burdett Avenue","Troy","New York","12180","5182713300","Rensselaer","Capital District Regional Office","Not for Profit Corporation","42.733574","-73.671455"
"St. Peter's Hospital - SPARC","Hospital","1300 Massachusetts Avenue","Troy","New York","12180","5182685941","Rensselaer","Capital District Regional Office","Not for Profit Corporation","42.74284","-73.67645"
"St. Peter's Hospital - SPARC","Hospital","1300 Massachusetts Avenue","Troy","New York","12180","5182685941","Rensselaer","Capital District Regional Office","Not for Profit Corporation","42.74284","-73.67645"
"Samaritan Hospital","Hospital","2215 Burdett Avenue","Troy","New York","12180","5182713300","Rensselaer","Capital District Regional Office","Not for Profit Corporation","42.733574","-73.671455"
"Richmond University Medical Center","Hospital","355 Bard Avenue","Staten Island","New York","10310","7188182413","Richmond","Metropolitan Area Regional Office - New York City","Not for Profit Corporation","40.635807","-74.106674"
"Staten Island University Hosp-North","Hospital","475 Seaview Avenue","Staten Island","New York","10305","7182269515","Richmond","Metropolitan Area Regional Office - New York City","Not for Profit Corporation","40.58453","-74.08561"
"RUMC-Bayley Seton","Hospital","75 Vanderbilt Avenue","Staten Island","New York","10304","7183906000","Richmond","Metropolitan Area Regional Office - New York City","Not for Profit Corporation","40.621376","-74.07476"
"Staten Island University Hospital Prince's Bay","Hospital","375 Seguine Avenue","Staten Island","New York","10309","7182269515","Richmond","Metropolitan Area Regional Office - New York City","Not for Profit Corporation","40.516773","-74.196808"
"Staten Island University Hosp-North","Hospital","475 Seaview Avenue","Staten Island","New York","10305","7182269515","Richmond","Metropolitan Area Regional Office - New York City","Not for Profit Corporation","40.58453","-74.08561"
"Staten Island University Hospital Prince's Bay","Hospital","375 Seguine Avenue","Staten Island","New York","10309","7182269515","Richmond","Metropolitan Area Regional Office - New York City","Not for Profit Corporation","40.516773","-74.196808"
"Helen Hayes Hospital","Hospital","51 N Route 9W","West Haverstraw","New York","10993","8457864000","Rockland","Metropolitan Area Regional Office - New Rochelle","State","41.213886","-73.986"
"Montefiore Nyack","Hospital","160 North Midland Avenue","Nyack","New York","10960","8453482000","Rockland","Metropolitan Area Regional Office - New Rochelle","Not for Profit Corporation","41.096249","-73.924957"
"Good Samaritan Hospital, a member of WMCHealth","Hospital","255 Lafayette Avenue","Suffern","New York","10901","8453685000","Rockland","Metropolitan Area Regional Office - New Rochelle","Public Benefit Corporation","41.112255","-74.133003"
"Canton-Potsdam Hospital","Hospital","50 Leroy Street","Potsdam","New York","13676","3152653300","Saint Lawrence","Central New York Regional Office","Not for Profit Corporation","44.676151","-74.981529"
"Massena Hospital","Hospital","1 Hospital Drive","Massena","New York","13662","3157641711","Saint Lawrence","Central New York Regional Office","Not for Profit Corporation","44.936363","-74.907951"
"Saratoga Hospital","Hospital","211 Church Street","Saratoga Springs","New York","12866","5185873222","Saratoga","Capital District Regional Office","Not for Profit Corporation","43.084843","-73.796341"
"Ellis Hospital - Bellevue Woman's Care Center Division","Hospital","2210 Troy Road","Niskayuna","New York","12309","5183469400","Schenectady","Capital District Regional Office","Not for Profit Corporation","42.793575","-73.879089"
"Ellis Hospital","Hospital","1101 Nott Street","Schenectady","New York","12308","5182434000","Schenectady","Capital District Regional Office","Not for Profit Corporation","42.819839","-73.918747"
"Sunnyview Hospital and Rehabilitation Center","Hospital","1270 Belmont Avenue","Schenectady","New York","12308","5183824500","Schenectady","Capital District Regional Office","Not for Profit Corporation","42.82206","-73.913651"
"Sunnyview Hospital and Rehabilitation Center","Hospital","1270 Belmont Avenue","Schenectady","New York","12308","5183824500","Schenectady","Capital District Regional Office","Not for Profit Corporation","42.82206","-73.913651"
"St. James Hospital","Hospital","7329 Seneca Road North","Hornell","New York","14843","6073248000","Steuben","Western Regional Office - Rochester","Not for Profit Corporation","42.314438","-77.660164"
"Corning Hospital","Hospital","1 Guthrie Drive","Corning","New York","14830","6079377200","Steuben","Western Regional Office - Rochester","Not for Profit Corporation","42.141293","-77.047562"
"Stony Brook University Hospital","Hospital","Health Sciences Center SUNY","Stony Brook","New York","11794","6314442701","Suffolk","Metropolitan Area Regional Office - Long Island","State","40.909217","-73.115198"
"Peconic Bay Medical Center","Hospital","1 Heroes Way","Riverhead","New York","11901","6315486000","Suffolk","Metropolitan Area Regional Office - Long Island","Not for Profit Corporation","40.9348","-72.6753"
"Stony Brook Eastern Long Island Hospital","Hospital","201 Manor Place","Greenport","New York","11944","6314771000","Suffolk","Metropolitan Area Regional Office - Long Island","State","41.110958","-72.361282"
"Stony Brook Southampton Hospital","Hospital","240 Meeting House Lane","Southampton","New York","11968","6317268200","Suffolk","Metropolitan Area Regional Office - Long Island","State","40.885757","-72.380692"
"South Shore University Hospital","Hospital","301 East Main Street","Bay Shore","New York","11706","6319683000","Suffolk","Metropolitan Area Regional Office - Long Island","Not for Profit Corporation","40.725014","-73.240372"
"Good Samaritan University Hospital","Hospital","1000 Montauk Highway","West Islip","New York","11795","6313763000","Suffolk","Metropolitan Area Regional Office - Long Island","Not for Profit Corporation","40.69409","-73.29447"
"NYU Langone Hospital - Suffolk","Hospital","101 Hospital Road","Patchogue","New York","11772","6316547100","Suffolk","Metropolitan Area Regional Office - Long Island","Not for Profit Corporation","40.778915","-72.978035"
"Huntington Hospital","Hospital","270 Park Avenue","Huntington","New York","11743","6313512200","Suffolk","Metropolitan Area Regional Office - Long Island","Not for Profit Corporation","40.879513","-73.417442"
"Good Samaritan University Hospital St. Charles Campus","Hospital","200 Belle Terre Road","Port Jefferson","New York","11777","6314746600","Suffolk","Metropolitan Area Regional Office - Long Island","Not for Profit Corporation","40.947533","-73.060081"
"South Shore University Hospital","Hospital","301 East Main Street","Bay Shore","New York","11706","6319683000","Suffolk","Metropolitan Area Regional Office - Long Island","Not for Profit Corporation","40.725014","-73.240372"
"John T Mather Memorial Hospital of Port Jefferson New York Inc","Hospital","75 North Country Road","Port Jefferson","New York","11777","6314731320","Suffolk","Metropolitan Area Regional Office - Long Island","Not for Profit Corporation","40.93816","-73.053894"
"St Catherine of Siena Hospital","Hospital","50 Route 25A","Smithtown","New York","11787","6318623107","Suffolk","Metropolitan Area Regional Office - Long Island","Not for Profit Corporation","40.867531","-73.220222"
"Garnet Health Medical Center - Catskills","Hospital","68 Harris-Bushville Road P.O. Box 800","Harris","New York","12742","8457943300","Sullivan","Metropolitan Area Regional Office - New Rochelle","Not for Profit Corporation","41.706588","-74.735987"
"Cayuga Medical Center at Ithaca","Hospital","101 Dates Drive","Ithaca","New York","14850","6072744011","Tompkins","Central New York Regional Office","Not for Profit Corporation","42.469826","-76.536896"
"Cayuga Medical Center at Ithaca","Hospital","101 Dates Drive","Ithaca","New York","14850","6072744011","Tompkins","Central New York Regional Office","Not for Profit Corporation","42.469826","-76.536896"
"HealthAlliance Hospital, a member of WMCHealth","Hospital","105 Marys Avenue","Kingston","New York","12401","8453382500","Ulster","Metropolitan Area Regional Office - New Rochelle","Public Benefit Corporation","41.92161","-73.99988"
"Glens Falls Hospital","Hospital","100 Park Street","Glens Falls","New York","12801","5189261000","Warren","Capital District Regional Office","Not for Profit Corporation","43.30735","-73.645996"
"Newark-Wayne Community Hospital","Hospital","1200 Driving Park Avenue, Box 111","Newark","New York","14513","3153322022","Wayne","Western Regional Office - Rochester","Not for Profit Corporation","43.059728","-77.102244"
"White Plains Hospital Center","Hospital","41 East Post Road","White Plains","New York","10601","9146810600","Westchester","Metropolitan Area Regional Office - New Rochelle","Not for Profit Corporation","41.026333","-73.769585"
"Montefiore New Rochelle Hospital","Hospital","16 Guion Place","New Rochelle","New York","10802","9143653700","Westchester","Metropolitan Area Regional Office - New Rochelle","Not for Profit Corporation","40.913021","-73.787086"
"Phelps Hospital","Hospital","701 North Broadway","Sleepy Hollow","New York","10591","9143663000","Westchester","Metropolitan Area Regional Office - New Rochelle","Not for Profit Corporation","41.107639","-73.859665"
"SJRH - Park Care Pavilion","Hospital","Two Park Avenue","Yonkers","New York","10703","9149647300","Westchester","Metropolitan Area Regional Office - New Rochelle","Not for Profit Corporation","40.939613","-73.892181"
"SJRH - Dobbs Ferry Pavillion","Hospital","128 Ashford Avenue","Dobbs Ferry","New York","10522","9146930700","Westchester","Metropolitan Area Regional Office - New Rochelle","Not for Profit Corporation","41.014721","-73.862259"
"Winifred Masterson Burke Rehabilitation Hospital","Hospital","785 Mamaroneck Avenue","White Plains","New York","10605","9149480050","Westchester","Metropolitan Area Regional Office - New Rochelle","Not for Profit Corporation","41.015186","-73.75573"
"SJRH - St Johns Division","Hospital","967 North Broadway","Yonkers","New York","10701","9149644200","Westchester","Metropolitan Area Regional Office - New Rochelle","Not for Profit Corporation","40.968262","-73.885033"
"Montefiore Mount Vernon Hospital","Hospital","12 North 7th Avenue","Mount Vernon","New York","10550","9143616100","Westchester","Metropolitan Area Regional Office - New Rochelle","Not for Profit Corporation","40.912476","-73.840004"
"NewYork-Presbyterian/Hudson Valley Hospital","Hospital","1980 Crompond Road","Cortlandt Manor","New York","10567","9147379000","Westchester","Metropolitan Area Regional Office - New Rochelle","Not for Profit Corporation","41.291512","-73.893341"
"Northern Westchester Hospital","Hospital","400 East Main Street","Mount Kisco","New York","10549","9146661303","Westchester","Metropolitan Area Regional Office - New Rochelle","Not for Profit Corporation","41.196774","-73.72451"
"New York-Presbyterian Westchester","Hospital","55 Palmer Avenue","Bronxville","New York","10708","9147871000","Westchester","Metropolitan Area Regional Office - New Rochelle","Not for Profit Corporation","40.941673","-73.836334"
"St. Joseph's Medical Center","Hospital","127 South Broadway","Yonkers","New York","10701","9143787000","Westchester","Metropolitan Area Regional Office - New Rochelle","Not for Profit Corporation","40.929512","-73.896957"
"St. Joseph's MC-St. Vincent's Westchester Division","Hospital","275 North Street","Harrison","New York","10528","9149255300","Westchester","Metropolitan Area Regional Office - New Rochelle","Not for Profit Corporation","40.989265","-73.710457"
"New York-Presbyterian Westchester Behavioral Health Center","Hospital","21 Bloomingdale Road","White Plains","New York","10605","9146829100","Westchester","Metropolitan Area Regional Office - New Rochelle","Not for Profit Corporation","41.029835","-73.758293"
"Blythedale Children's Hospital","Hospital","95 Bradhurst Avenue","Valhalla","New York","10595","9145927555","Westchester","Metropolitan Area Regional Office - New Rochelle","Not for Profit Corporation","41.076408","-73.798767"
"Westchester Medical Center","Hospital","100 Woods Road","Valhalla","New York","10595","9144937018","Westchester","Metropolitan Area Regional Office - New Rochelle","Public Benefit Corporation","41.08773","-73.803993"
